id	plain_name	bucket	enforcement_or_sketch	evidence
9310827b	Safety check for both partners equally	J	Requires judging what's risky/wrong in live context; no test can substitute.	Not in rule-enforcement-map.json (default judgment_advisory).
2271e684	Double-check before delivering; verify technical specifics by search	P	completion-evidence-gate.py (Stop hook) blocks claiming done/verified without evidence.	rule_controls: post_action_verification/completion_evidence; hook is corrective (fires at Stop), not preventive.
236ca227	Weekends are off for both partners	P	session-brief.py rail states the policy; nothing denies a weekend send/ping.	rule_controls: session_task_rail/session_boot.
25fcddee	Unknowns pass before unfamiliar deliverables (interview first)	P	session_boot rail only; no deny if a session skips the interview.	rule_controls: session_task_rail/session_boot.
2b66211d	Fan-out hygiene: verifiers get fresh context	P	delegation-gate.py task-sticky control; does not verify a checker actually used fresh context.	rule_controls: session_task_rail/delegation_tripwire.
3fa17fa0	Stale notes (60d+) need a check before re-engagement drafting	P	session_boot rail only.	rule_controls: session_task_rail/session_boot.
72e06bdf	Never pre-qualify leads before the board	P	session_boot rail only.	rule_controls: session_task_rail/session_boot.
9730f565	Check the clock from real timestamps, not mood	P	session_boot rail only.	rule_controls: session_task_rail/session_boot.
9d80fd2d	Doctor cadence is the message; frequency = content	J	Tone/cadence judgment about a specific outreach.	Not in map.
c1db316c	Complete solutions, not incremental patches	J	Quality judgment on solution scope.	Not in map.
e6dec821	Unbiased, direct, truthful; no sycophancy	J	Requires judging whether praise/agreement is warranted.	Not in map.
f5beac20	Expansion posture: capture useful-but-not-today knowledge	J	Judgment on what is worth capturing and where.	Not in map.
fa217e48	Verify the artifact, not the summary	P	completion-evidence-gate.py Stop hook.	rule_controls: post_action_verification/completion_evidence.
6901cc3b	Doc must be perfect; never propose a workaround over the real fix	J	Aspirational quality bar; 'would a busy partner resent this gap' is a judgment test.	Not in map.
14e0408b	COO decides & reports; no permission-asking on obvious yeses	P	conduct-stop-gate.py Stop hook blocks the offload phrasing after it's said.	rule_controls: session_task_rail/conduct_stop; corrective not preventive.
c6f69dee	Staffing model: an agent is a job description named in human words	J	Naming/design judgment; claimed control is a stretch.	rule_controls lists delegation_tripwire, but that hook enforces task-stickiness, not job-title naming or the autobiographer principle -- mismatch.
75c2e4c9	Main session is CEO/final call; specialists propose with evidence	P	delegation-gate.py task-sticky control; does not verify the CEO actually re-checked before acting.	rule_controls: session_task_rail/delegation_tripwire.
e313a3ca	Run the command yourself; don't hand it to the partner	P	conduct-stop-gate.py Stop hook blocks the turn from ending, forcing rework -- corrective, not preventive.	Hook's own docstring: 'NOT impossible to say -- but impossible to LEAVE SAID and walk away.' Category hard_pre_action in map is aspirational; real mechanism is Stop-time.
1e62c007	Away-mode ask resolution: Dell for client-facing, nobody for money	P	No send tool exists in MCP server (blocks the outbound-send half structurally); routing-to-Dell judgment is not gated.	MCP server instructions: 'There is no send tool: drafts are produced, Joe sends.'
fb110a39	Fable reserved for best use; workforce models do the rest	P	delegation-gate.py enforces task-id stickiness (don't reassign a claimed task), not Fable-vs-Sonnet/Opus/Codex/Grok model-tier choice.	Read delegation-gate.py docstring directly; scope does not match rule content.
8c1e6057	Always include a clickable file link when asking partner to edit	U	PostToolUse lint on outgoing partner-facing text: regex for a bare filename/path not wrapped as a markdown link, warn/refuse before send.	No existing check; concrete and cheap to build (same pattern as lint-gate.py, different surface).
5be2f462	Cut empty modifiers; never invent an opposing view (strawman ban) -- internal dialogue	U	Point tools/writing-lint.py's existing 'contrast-reframe' + vocab HARD regexes at the assistant's own outgoing chat text via a Stop hook, not just vault files.	The identical banned-construction regex ALREADY EXISTS and is enforced for client-facing surfaces (tools/writing-lint.py, verified) but this rule's actual binding scope is INTERNAL dialogue to Joe, which no hook touches.
c315befa	Name the specific deal in the question itself	P	Lint on outgoing questions/interview boxes: regex flags bare 'the draft lease/the LOI/the landlord' with no proper noun nearby, refuse.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: hooks/context-handoff-gate.py instructs the handoff to name the deal in the message, but it is a rail and refuses nothing; the deny half is still unbuilt.
d8c9b1f0	A finding that only exists in a record hasn't reached the partner	J	Requires judging whether something was actually surfaced to a human vs merely written.	Not in map.
70e372f0	Dell experience calibration via teach verb, never a psych-profile	J	Requires judging what counts as a personality assessment vs a design observation.	Not in map.
0c1bac27	Complementarity ledger: find how Joe/Dell fit, not assess either man	J	Same as above.	Not in map.
8c812bed	Ledger publishes nothing until Dell has data parity (~4wk)	U	Publish-gate: before any Monday-brief/fit-summary render, check Dell's evidence-row count against a threshold; refuse render below it.	Concrete, countable precondition; no existing check.
b42e217e	Dell is a full writer/teacher, same verb surface as Joe	E	humanOnly verb checks require a verified partner actor, not a specific partner identity -- already schema-level.	Map's own note: 'the person-level gate is already correctly built and needs nothing added.'
767f9b41	A confirmation question is an audit trigger; re-verify honestly	P	completion-evidence-gate.py Stop hook.	rule_controls: post_action_verification/completion_evidence.
80def9d2	User-friendly by law: ux-doctrine, one obvious action, speak human	J	Design-quality judgment across arbitrary surfaces.	Not in map.
d367188d	Consolidation bias: one source of truth beats two versions	J	Architectural judgment call.	Not in map.
86647daf	Substantive finish -> post shared-impact items same session	J	Judging whether the (a)-(d) test is met.	Not in map.
3d185f2b	System builds finish through Joe; Dell reviews finished product	J	Process/relationship judgment.	Not in map.
57d83b75	New client gets open-source research before trusting the handover	U	client-intake pipeline could require a research_verified_at stamp before an intake record is marked complete.	No existing check; client-intake agent runs this as a step but nothing refuses an unverified record.
2ca2add2	Capture every field by default; apply client-facing rules at render	J	Data-capture completeness judgment (what counts as 'useful').	Not in map.
